Account,date,trades,total_pnl,closed_trades,wins,avg_trade_size_usd,total_volume_usd,buy_trades,sell_trades,long_short_ratio,win_rate,sentiment,sentiment_value
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,0.0,0,0,5089.718248587571,900880.13,0,177,0.0,,Extreme Greed,76.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,0.0,0,0,7976.664411764705,542413.1799999999,0,68,0.0,,Extreme Greed,90.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,0.0,0,0,23734.5,949380.0,0,40,0.0,,Extreme Greed,83.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,-21227.0,12,0,28186.666666666668,338240.0,12,0,,0.0,Extreme Greed,94.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,1603.1,12,12,17248.14814814815,465700.0,12,15,0.8,1.0,Extreme Greed,79.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,-132271.0,82,0,16058.536341463414,1316799.98,82,0,,0.0,Extreme Greed,77.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,0.0,0,0,48561.68565217392,1116918.77,0,23,0.0,,Extreme Greed,84.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,33,-175611.00005600002,33,0,36736.36242424243,1212299.96,33,0,,0.0,Greed,72.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,71393.964098,112,23,11410.954021505377,5306093.62,112,353,0.31728045325779036,0.20535714285714285,Extreme Greed,77.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,40218.599998,28,28,9400.588039215687,479429.99,28,23,1.2173913043478262,1.0,Extreme Greed,76.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,76710.0,9,9,185847.0,1858470.0,9,1,9.0,1.0,Greed,60.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,839,101011.685664,371,256,23593.019856972587,19794543.66,350,489,0.7157464212678937,0.6900269541778976,Fear,44.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,531,375620.270243,111,83,10576.687156308852,5616220.88,111,420,0.2642857142857143,0.7477477477477478,Greed,72.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,210,44400.9058,78,78,26585.06338095238,5582863.31,78,132,0.5909090909090909,1.0,Neutral,54.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,141,30897.0887,132,132,10161.056241134751,1432708.93,132,9,14.666666666666666,1.0,Neutral,46.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,48,55086.0,16,16,32032.5,1537560.0,16,32,0.5,1.0,Fear,43.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,6,0.0,0,0,134600.00166666668,807600.01,0,6,0.0,,Neutral,47.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,59,10152.12224,31,31,27178.041694915253,1603504.46,31,28,1.1071428571428572,1.0,Neutral,49.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,219,115445.395538,93,93,13233.776894977169,2898197.14,93,126,0.7380952380952381,1.0,Fear,25.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,55,115287.0,1,1,24958.908545454546,1372739.97,1,54,0.018518518518518517,1.0,Extreme Fear,16.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,45,9482.221441,36,36,2985.797555555556,134360.89,36,9,4.0,1.0,Extreme Fear,20.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,641,533974.662903,540,540,8371.136099843994,5365898.24,540,101,5.346534653465347,1.0,Fear,33.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,5,40200.0,4,4,79640.0,398200.0,4,1,4.0,1.0,Neutral,45.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,31,307855.80341,31,31,21491.640322580646,666240.85,31,0,,1.0,Fear,43.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,55,11715.94323,46,46,2469.9509090909087,135847.3,8,47,0.1702127659574468,1.0,Extreme Greed,84.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,1,0.0,0,0,0.06,0.06,0,1,0.0,,Extreme Greed,81.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,34,0.0,0,0,1426.8700000000001,48513.58,34,0,,,Greed,72.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,26,3515.031065,25,25,2001.101153846154,52028.630000000005,0,26,0.0,1.0,Extreme Greed,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,46,0.0,0,0,1131.888695652174,52066.88,46,0,,,Extreme Greed,78.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,64,2517.787385,63,63,852.88625,54584.72,0,64,0.0,1.0,Extreme Greed,78.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,59,1613.165903,15,15,1913.523898305085,112897.91,44,15,2.933333333333333,1.0,Extreme Greed,81.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,1,0.0,0,0,0.11,0.11,0,1,0.0,,Extreme Greed,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,34,1245.51851,21,21,10051.199411764705,341740.77999999997,13,21,0.6190476190476191,1.0,Greed,74.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,13,0.0,0,0,2845.9646153846156,36997.54,13,0,,,Greed,61.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,17,4493.232479,17,17,2440.6282352941175,41490.68,0,17,0.0,1.0,Extreme Greed,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,39,1047.030992,28,28,2154.3915384615384,84021.26999999999,10,29,0.3448275862068966,1.0,Extreme Greed,77.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,124,4842.054317,80,80,2194.294758064516,272092.55,43,81,0.5308641975308642,1.0,Extreme Greed,77.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,339,1693.493165,198,198,1737.369557522124,588968.28,141,198,0.7121212121212122,1.0,Extreme Greed,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,54,4221.156399,4,4,2398.331666666667,129509.91,50,4,12.5,1.0,Extreme Greed,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,44,0.0,0,0,1519.465681818182,66856.49,44,0,,,Greed,71.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,56,6899.2458320000005,56,56,1317.0667857142857,73755.74,0,56,0.0,1.0,Greed,72.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,46,0.0,0,0,1602.9452173913044,73735.48,46,0,,,Greed,72.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,55,7372.485101,55,55,1474.6896363636365,81107.93000000001,0,55,0.0,1.0,Greed,70.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,78,1162.002541,25,25,2094.719358974359,163388.11,53,25,2.12,1.0,Greed,68.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,517,6352.452613,246,233,2792.42166344294,1443682.0,270,247,1.0931174089068827,0.9471544715447154,Greed,60.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,124,-12346.990829,124,0,612.1092741935485,75901.55,0,124,0.0,0.0,Neutral,47.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,159,355.5854,127,127,2687.4032704402516,427297.12,31,128,0.2421875,1.0,Neutral,46.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,160,1129.8489260000001,52,52,1641.2224999999999,262595.6,108,52,2.076923076923077,1.0,Neutral,49.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,1,-6820.76955,1,0,82910.81,82910.81,0,1,0.0,0.0,Fear,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,52,0.0,0,0,1462.824423076923,76066.87,52,0,,,Extreme Fear,16.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,110,2480.902379,50,50,1999.099181818182,219900.91,60,50,1.2,1.0,Fear,33.0
